Date,AQI,PM2.5,PM10,CO,NO,NO2,O3,SO2,NH3
2023-11-29,252,205,252,3993,46,82,45,28,41
2023-11-30,260,201,260,4083,42,88,31,36,50
2023-12-01,121,81,121,1254,1,29,88,15,15
2023-12-02,130,87,130,1335,0,30,86,15,16
2023-12-03,240,181,240,3565,32,78,49,31,43
2023-12-04,221,163,221,3105,22,71,44,32,40
2023-12-05,161,110,161,2164,10,52,58,25,29
2023-12-06,160,111,160,2002,5,51,69,26,26
2023-12-07,240,180,240,3219,28,72,50,25,37
2023-12-08,212,143,212,2965,29,71,27,18,25
2023-12-09,349,263,349,3916,38,82,71,45,30
2023-12-10,185,129,185,2216,17,55,43,13,18
2023-12-11,453,356,453,5555,41,143,55,44,40
2023-12-12,286,201,286,2427,6,68,69,42,27
2023-12-13,375,283,375,3584,21,94,54,49,39
2023-12-14,301,230,301,3022,18,72,58,32,35
2023-12-15,252,205,252,2859,21,65,58,19,27
2023-12-16,180,131,180,2218,12,65,61,32,23
2023-12-17,130,87,130,1161,1,29,92,21,14
2023-12-18,169,115,169,1313,0,35,97,28,15
2023-12-19,193,133,193,1851,2,53,77,31,23
2023-12-20,286,216,286,4195,44,98,37,45,50
2023-12-21,317,259,317,4590,39,111,37,38,55
2023-12-22,102,78,102,1577,5,38,67,20,20
2023-12-23,151,116,151,1001,0,19,115,20,8
2023-12-24,251,204,251,3700,38,79,67,35,42
2023-12-25,378,311,378,4926,48,104,55,37,49
2023-12-26,283,224,283,3290,20,77,48,30,34
2023-12-27,205,156,205,1959,1,53,75,33,23
2023-12-28,244,183,244,3239,26,78,53,33,38
2023-12-29,210,156,210,1948,7,48,74,21,20
2023-12-30,193,150,193,1466,1,33,85,20,15
2023-12-31,357,290,357,3629,22,93,63,42,45
2024-01-01,356,289,356,2937,8,70,78,34,30
2024-01-02,415,314,415,4348,20,115,31,45,39
2024-01-03,210,137,210,1359,1,36,87,38,16
2024-01-04,314,237,314,2933,15,81,56,42,33
2024-01-05,186,152,186,1240,0,21,100,22,8
2024-01-06,180,147,180,1201,0,22,100,21,9
2024-01-07,215,174,215,2141,7,52,72,22,25
2024-01-08,242,182,242,1715,2,34,69,19,18
2024-01-10,161,125,161,2193,5,62,54,31,27
2024-01-10,284,226,284,4026,38,91,48,43,48
2024-01-11,405,321,405,5291,50,122,60,55,53
2024-01-12,227,186,227,3070,25,69,42,20,23
2024-01-13,236,176,236,3113,22,80,60,22,26
2024-01-14,420,309,420,4673,42,101,41,33,43
2024-01-15,133,62,133,936,1,31,69,7,8
2024-01-16,328,211,328,2961,19,72,53,38,23
2024-01-17,379,287,379,3683,33,84,74,44,38
2024-01-18,435,323,435,4513,28,123,32,45,53
2024-01-19,363,297,363,3246,10,80,59,21,22
2024-01-20,271,197,271,2476,8,71,50,24,22
2024-01-21,364,306,364,4147,30,94,54,30,37
2024-01-22,324,237,324,4004,34,98,70,38,39
2024-01-23,431,317,431,4471,47,86,53,45,47
2024-01-24,289,209,289,2948,18,77,49,25,26
2024-01-25,318,236,318,2736,12,67,63,32,20
2024-01-26,312,234,312,2336,4,64,86,29,21
2024-01-27,322,258,322,3044,20,60,57,21,28
2024-01-28,54,40,54,1121,7,29,64,8,10
2024-01-29,115,93,115,2279,30,44,47,14,20
2024-01-30,41,23,41,708,1,21,75,6,6
2024-01-31,169,95,169,2086,19,58,57,21,22
2024-02-01,170,86,170,1628,13,45,59,15,16
2024-02-02,153,82,153,1587,10,40,34,10,11
2024-02-03,40,22,40,678,2,18,89,5,5
2024-02-04,108,61,108,1335,8,35,93,15,13
2024-02-05,118,77,118,1850,16,48,68,22,18
2024-02-06,130,93,130,2114,26,42,79,19,21
2024-02-07,133,133,-237,2609,21,62,100,36,33
2024-02-08,262,206,262,3916,43,82,58,27,46
2024-02-09,147,111,147,2140,9,65,69,19,21
2024-02-10,211,149,211,3200,20,84,58,29,41
2024-02-11,209,155,209,2771,13,77,72,29,40
2024-02-12,283,207,283,3819,28,103,36,42,51
2024-02-13,357,277,357,4794,45,111,50,42,62
2024-02-14,478,398,478,5748,42,139,98,41,65
2024-02-15,362,289,362,5073,36,134,57,40,61
2024-02-16,226,176,226,2984,26,71,55,19,37
2024-02-17,51,27,51,352,0,6,89,2,1
2024-02-18,73,34,73,371,0,6,106,2,1
2024-02-19,66,27,66,515,1,13,104,4,4
2024-02-20,59,24,59,499,0,12,110,4,4
2024-02-21,125,87,125,2215,22,53,65,20,31
2024-02-22,241,193,241,3888,44,92,65,30,46
2024-02-23,86,47,86,1108,5,33,100,15,13
2024-02-24,178,112,178,2611,18,75,57,32,31
2024-02-25,62,40,62,861,1,27,113,27,13
2024-02-26,59,41,59,757,0,17,119,14,10
2024-02-27,104,76,104,1498,1,45,111,30,21
2024-02-28,221,151,221,2529,9,78,101,26,33
2024-02-29,88,58,88,879,1,24,92,9,8
2024-03-01,24,7,24,369,0,5,99,4,3
2024-03-02,34,14,34,516,0,13,106,9,6
2024-03-03,128,98,128,2031,16,51,94,23,27
2024-03-04,109,72,109,1762,4,58,74,30,29
2024-03-05,199,148,199,2370,8,70,115,34,34
2024-03-06,129,97,129,1756,10,53,102,21,20
2024-03-07,202,148,202,2774,16,83,100,28,32
2024-03-08,169,125,169,2056,4,63,126,20,25
2024-03-09,112,90,112,1846,3,65,53,18,27
2024-03-10,56,41,56,1009,4,28,77,9,15
2024-03-11,70,52,70,1311,13,32,58,9,12
2024-03-12,86,22,86,435,0,10,94,5,4
2024-03-13,141,93,141,2165,10,71,91,26,29
2024-03-14,115,85,115,1912,4,61,111,20,27
2024-03-15,135,102,135,1993,10,61,105,17,27
2024-03-16,157,111,157,2023,7,62,110,17,29
2024-03-17,264,203,264,3063,19,88,120,23,36
2024-03-18,71,30,71,785,3,26,68,6,9
2024-03-19,137,78,137,1892,18,53,38,13,22
2024-03-20,58,31,58,667,2,20,68,5,8
2024-03-21,78,35,78,475,1,12,78,3,3
2024-03-22,107,38,107,392,0,9,78,2,2
2024-03-23,50,20,50,369,0,7,82,2,2
2024-03-24,60,29,60,700,3,21,65,5,7
2024-03-25,54,29,54,556,2,15,50,4,5
2024-03-26,74,35,74,470,0,12,63,4,3
2024-03-27,36,16,36,490,0,15,103,4,4
2024-03-28,43,17,43,381,0,8,114,4,2
2024-03-29,92,29,92,335,0,4,120,2,1
2024-03-30,331,141,331,1742,10,48,115,14,18
2024-03-31,110,37,110,652,2,21,98,6,6
2024-04-01,103,34,103,390,0,8,101,3,2
2024-04-02,112,38,112,463,0,13,111,3,2
2024-04-03,89,38,89,471,0,12,109,4,2
2024-04-04,67,35,67,382,0,8,140,3,0
2024-04-05,62,32,62,379,0,8,140,3,0
2024-04-06,85,46,85,508,0,13,128,3,1
2024-04-07,107,65,107,997,5,31,99,7,7
2024-04-08,70,39,70,702,2,22,89,5,6
2024-04-09,70,28,70,482,2,14,49,4,3
2024-04-10,99,42,99,704,3,24,51,6,5
2024-04-11,87,36,87,511,1,16,60,5,3
2024-04-12,54,21,54,421,0,12,41,3,2
2024-04-13,46,31,46,1011,13,22,32,9,7
2024-04-14,240,207,240,5652,122,69,0,24,28
2024-04-16,52,36,52,1067,5,35,60,14,12
2024-04-16,124,90,124,2011,15,57,76,17,23
2024-04-17,28,15,28,552,5,12,42,4,4
2024-04-18,27,13,27,308,0,3,135,1,0
2024-04-19,29,8,29,323,0,5,102,2,1
2024-04-20,45,15,45,330,0,5,105,2,1
2024-04-21,49,17,49,339,0,7,75,2,1
2024-04-22,56,19,56,357,0,8,73,2,1
2024-04-23,49,16,49,360,0,7,67,3,1
2024-04-24,62,16,62,362,0,7,51,3,1
2024-04-25,44,14,44,347,0,6,54,2,1
2024-04-26,69,18,69,344,0,6,66,2,1
2024-04-27,70,19,70,371,0,7,57,2,1
2024-04-28,84,23,84,442,1,13,90,6,4
2024-04-29,82,25,82,470,1,14,105,8,5
2024-04-30,122,29,122,422,1,13,105,6,3
2024-05-01,84,39,84,1145,11,35,63,8,10
2024-05-02,50,18,50,433,1,10,51,2,1
2024-05-03,29,13,29,324,0,4,69,1,0
2024-05-04,38,12,38,292,0,4,49,1,0
2024-05-05,62,20,62,348,0,8,78,2,1
2024-05-06,68,24,68,373,1,9,75,2,1
2024-05-07,72,22,72,472,1,13,52,3,2
2024-05-08,70,16,70,420,1,9,40,3,1
2024-05-09,65,15,65,422,2,9,34,3,1
2024-05-10,69,18,69,332,0,6,65,2,1
2024-05-11,79,20,79,479,3,12,55,2,2
2024-05-12,114,30,114,630,4,19,56,4,4
2024-05-13,124,50,124,1027,9,34,77,11,7
2024-05-14,77,20,77,404,1,10,54,3,2
2024-05-15,71,19,71,351,1,9,48,3,1
2024-05-16,73,20,73,325,0,8,50,3,1
2024-05-17,60,17,60,293,0,6,57,2,1
2024-05-18,56,12,56,275,0,5,51,2,1
2024-05-19,65,13,65,295,0,6,47,2,1
2024-05-20,75,16,75,340,1,6,40,2,1
2024-05-21,97,22,97,356,1,7,46,2,1
2024-05-22,103,28,103,337,0,7,62,2,1
2024-05-23,109,29,109,371,1,9,57,2,1
2024-05-24,100,25,100,346,0,7,55,2,1
2024-05-25,117,30,117,303,0,5,62,1,0
2024-05-26,112,33,112,309,0,5,57,2,0
2024-05-27,119,38,119,285,0,4,64,1,0
2024-05-28,110,37,110,300,0,5,64,1,0
2024-05-29,124,45,124,454,1,13,78,2,2
2024-05-30,163,60,163,552,2,17,86,3,3
2024-05-31,196,62,196,356,0,9,77,2,1
2024-06-01,97,25,97,344,1,7,45,2,0
2024-06-02,71,16,71,292,0,4,39,1,0
2024-06-03,77,17,77,267,0,3,41,1,0
2024-06-04,77,18,77,267,0,3,41,1,0
2024-06-05,51,12,51,301,0,5,35,1,0
2024-06-06,57,13,57,314,1,6,31,1,0
2024-06-07,64,15,64,275,0,3,36,1,0
2024-06-08,57,14,57,268,0,3,40,1,0
2024-06-09,57,14,57,273,0,3,40,1,0
2024-06-10,55,13,55,260,0,3,42,1,0
2024-06-11,45,12,45,257,0,3,43,1,0
2024-06-12,78,21,78,265,0,3,42,1,0
2024-06-13,89,24,89,292,0,4,44,1,0
2024-06-14,101,26,101,286,0,4,51,1,0
2024-06-15,95,27,95,240,0,1,52,1,0
2024-06-17,90,24,90,321,1,6,46,2,0
2024-06-17,105,24,105,261,0,3,47,1,0
2024-06-18,136,32,136,275,0,4,48,1,0
2024-06-19,153,41,153,325,0,8,56,2,0
2024-06-20,174,42,174,396,1,12,52,2,1
2024-06-21,180,37,180,425,2,13,37,2,1
2024-06-22,162,33,162,353,1,9,42,2,1
2024-06-23,161,38,161,356,1,9,36,2,1
2024-06-24,169,41,169,333,1,7,37,2,0
2024-06-25,158,43,158,400,2,11,32,3,1
2024-06-26,131,39,131,597,6,19,27,4,2
2024-06-27,124,38,124,950,15,30,16,6,5
2024-06-28,85,37,85,922,9,32,33,10,5
2024-06-29,40,23,40,578,5,15,54,3,2
2024-06-30,98,37,98,271,0,3,47,1,0
2024-07-01,147,43,147,290,0,6,48,1,0
2024-07-02,141,35,141,308,1,6,40,1,0
2024-07-03,163,38,163,264,0,4,43,1,0
2024-07-04,165,35,165,252,0,3,51,1,0
2024-07-05,176,44,176,249,0,3,72,1,0
2024-07-06,167,41,167,261,0,4,57,1,0
2024-07-07,133,34,133,711,12,20,22,4,2
2024-07-08,63,23,63,594,6,21,23,5,2
2024-07-09,68,22,68,331,1,7,36,2,0
2024-07-10,39,14,39,253,0,3,38,1,0
2024-07-11,45,12,45,240,0,2,36,1,0
2024-07-12,80,19,80,248,0,3,41,1,0
2024-07-13,105,25,105,257,0,3,40,1,0
2024-07-14,140,34,140,361,2,10,35,2,0
2024-07-15,134,33,134,345,1,9,38,3,0
2024-07-16,110,32,110,369,1,12,30,2,0
2024-07-17,99,32,99,381,2,11,31,3,1
2024-07-18,28,11,28,345,1,9,37,2,0
2024-07-19,62,24,62,661,7,22,30,4,2
2024-07-20,108,58,108,1177,3,51,94,14,4
2024-07-21,52,31,52,341,0,7,82,3,0
2024-07-24,134,32,134,305,0,7,45,1,0
2024-07-24,144,38,144,315,0,6,53,2,0
2024-07-25,164,42,164,320,0,6,46,1,0
2024-07-26,217,45,217,287,0,4,49,1,0
2024-07-27,214,44,214,409,2,12,36,2,0
2024-07-28,166,39,166,735,12,20,31,6,2
2024-07-29,46,24,46,723,3,29,42,12,3
2024-07-30,11,8,11,429,0,13,48,2,1
2024-07-31,42,16,42,282,0,3,43,1,0
2024-08-01,90,22,90,307,0,6,35,1,0
2024-08-02,80,22,80,319,0,5,38,1,0
2024-08-03,82,25,82,342,0,6,37,1,0
2024-08-04,50,18,50,422,1,-405,31,3,1
2024-08-05,32,12,32,292,0,5,36,1,0
2024-08-06,21,7,21,269,0,3,38,1,0
2024-08-07,25,12,25,308,0,5,37,1,0
2024-08-08,32,15,32,313,0,5,38,1,0
2024-08-09,30,9,30,256,0,2,35,1,0
2024-08-10,33,11,33,260,0,-414,38,1,0
2024-08-11,46,13,46,311,0,5,34,1,0
2024-08-12,63,17,63,391,2,10,26,2,1
2024-08-13,53,15,53,291,0,6,27,2,0
2024-08-14,38,12,38,297,0,6,30,2,0
2024-08-15,33,11,33,296,0,6,26,2,0
2024-08-16,32,10,32,295,0,5,28,1,0
2024-08-17,30,10,30,276,0,4,31,1,0
2024-08-18,17,11,17,304,1,5,33,2,0
2024-08-19,23,10,23,276,0,3,31,1,0
2024-08-20,22,9,22,309,0,5,30,1,0
2024-08-21,31,10,31,338,0,5,34,2,0
2024-08-22,41,12,41,349,0,5,36,2,0
2024-08-23,43,14,43,309,0,3,36,1,0
2024-08-24,57,15,57,294,0,3,37,1,0
2024-08-25,74,21,74,332,0,7,38,2,1
2024-08-26,93,29,93,765,9,25,13,6,4
2024-08-27,88,34,88,554,0,17,50,6,2
2024-08-28,69,30,69,661,4,22,29,5,2
2024-08-29,18,12,18,486,0,13,42,6,1
2024-08-30,19,14,19,329,0,7,30,3,0
2024-08-31,28,16,28,413,2,11,23,6,2
2024-09-01,65,45,65,1422,24,32,27,12,9
2024-09-02,28,18,28,709,6,20,23,6,5
2024-09-03,22,10,22,414,0,11,28,3,2
2024-09-04,28,12,28,346,0,6,38,2,0
2024-09-05,39,13,39,327,0,6,40,2,0
2024-09-06,36,11,36,360,1,7,37,2,1
2024-09-07,25,9,25,363,1,7,35,2,1
2024-09-08,28,9,28,265,0,2,38,1,0
2024-09-10,80,24,80,448,1,14,46,3,1
2024-09-10,216,43,216,540,3,16,59,4,3
2024-09-11,179,31,179,318,0,7,62,2,1
2024-09-12,81,20,81,264,0,4,52,1,0
2024-09-13,86,20,86,237,0,2,61,1,0
2024-09-14,48,13,48,256,0,4,59,1,0
2024-09-15,51,14,51,291,0,6,55,2,1
2024-09-16,59,16,59,328,1,8,50,3,1
2024-09-17,73,19,73,361,1,10,49,3,1
2024-09-18,79,22,79,471,3,14,48,4,2
2024-09-19,75,19,75,338,1,9,51,3,1
2024-09-20,70,17,70,277,0,5,59,2,0
2024-09-21,69,16,69,263,0,4,58,1,0
2024-09-22,69,17,69,269,0,5,56,2,0
2024-09-23,64,17,64,284,0,6,56,2,0
2024-09-24,59,17,59,321,1,8,52,3,1
2024-09-25,68,16,68,308,0,6,49,2,1
2024-09-26,73,17,73,307,0,6,47,2,1
2024-09-27,58,15,58,272,0,4,52,1,0
2024-09-28,68,14,68,333,0,7,51,2,1
2024-09-29,33,8,33,377,0,8,38,3,1
2024-09-30,17,6,17,375,0,7,36,3,1
2024-10-01,36,11,36,358,0,7,43,2,1
2024-10-02,46,12,46,329,0,5,47,2,1
2024-10-03,50,12,50,334,0,5,45,2,1
2024-10-04,50,11,50,349,0,6,38,2,1
2024-10-05,48,13,48,486,2,12,35,3,3
2024-10-06,71,32,71,1066,9,33,33,10,10
2024-10-07,66,35,66,1154,9,35,40,9,12
2024-10-08,66,32,66,945,3,34,51,8,9
2024-10-09,119,50,119,1515,12,50,32,11,15
2024-10-10,157,90,157,1700,5,57,87,14,17
2024-10-11,206,137,206,2285,7,68,64,15,19
2024-10-12,169,115,169,2388,19,79,20,18,21
2024-10-13,136,87,136,1973,6,71,38,35,20
2024-10-14,212,159,212,2494,15,66,133,25,21
2024-10-15,97,68,97,759,1,19,95,6,4
2024-10-16,62,34,62,666,1,19,70,4,4
2024-10-17,91,61,91,1930,27,48,28,11,15
2024-10-18,109,67,109,1856,18,53,53,12,16
2024-10-19,66,33,66,690,1,22,66,5,5
2024-10-20,70,31,70,617,1,21,58,6,5
2024-10-21,85,38,85,657,1,22,74,7,5
2024-10-22,111,65,111,1120,3,38,62,9,9
2024-10-23,174,125,174,2604,19,86,60,18,21
2024-10-24,89,48,89,1120,4,38,53,8,9
2024-10-25,79,30,79,646,1,21,63,4,4
2024-10-26,143,63,143,1346,8,48,37,8,11
2024-10-27,212,84,212,914,3,34,56,6,8
2024-10-28,235,70,235,715,2,25,67,6,5
2024-10-29,256,77,256,541,0,18,74,4,4
2024-10-30,211,83,211,1491,16,46,41,12,14
2024-10-31,148,66,148,1220,9,37,56,9,11
2024-11-01,95,37,95,526,0,15,78,4,4
2024-11-02,109,55,109,1261,8,41,51,9,13
2024-11-03,173,114,173,2162,10,73,51,23,20
2024-11-04,129,87,129,1939,21,46,42,14,17
2024-11-05,100,70,100,1478,10,41,52,12,14
2024-11-06,73,38,73,657,0,21,65,6,5
2024-11-07,69,34,69,618,0,20,61,5,5
2024-11-08,62,30,62,501,0,14,66,4,4
2024-11-09,82,36,82,587,1,17,62,4,4
2024-11-10,141,57,141,841,4,24,57,7,7
2024-11-11,188,85,188,1450,15,36,48,10,12
2024-11-12,202,116,202,2042,21,53,39,15,17
2024-11-13,148,96,148,1973,15,56,45,16,17
2024-11-14,100,66,100,1350,8,39,63,13,13
2024-11-15,110,57,110,1148,7,33,60,8,9
2024-11-16,198,127,198,2263,6,72,75,20,15
2024-11-17,292,205,292,3547,10,117,63,46,32
2024-11-18,287,213,287,3820,18,113,66,36,38
2024-11-19,185,134,185,2732,17,76,50,25,27
2024-11-20,145,105,145,2223,20,55,44,14,14
2024-11-21,108,77,108,1648,13,45,56,12,12
2024-11-22,74,51,74,1120,6,33,59,8,9
2024-11-23,139,103,139,2256,15,65,52,15,15
2024-11-24,219,160,219,3021,11,97,54,44,30
2024-11-25,183,132,183,2414,24,55,39,15,24
2024-11-26,188,134,188,2628,30,53,30,13,16
2024-11-27,212,165,212,3292,45,61,31,16,14
